# session-recording 공용 IT 용어 사전 (도메인 무관, 공개 무해).
# 형식: 정식표기 | 오인식 예시(콤마 구분, 선택) | 비고(선택)
# '#' 시작 줄과 빈 줄은 무시한다. 프로젝트·회사 고유명사는 이 파일이 아니라
# 로컬 사전(~/.config/session-recording/glossary.d/, 작업 디렉터리 glossary.txt)에 둔다.
애자일 | 에자일 |
스프린트 | 스플릿, 스프린드 |
스쿼드 | 스프드 |
백로그 그루밍 | 백로그 불미, 맨보브루밍 |
데일리 스탠드업 | 데이프 판독, 데이비스텔러 미팅 |
스프린트 회고 | 스프린트 백오본 |
지라 | 자라 |
컨플루언스 | 컴플루언스 |
아키텍처 | 아키티티, 아키텍터 |
AI 에이전트 | 이레이전스, 레이전스 |
PMO | 피해모, 피해 모 |
협의체 | 호비트 |
스티어링 커미티 | 스티어링 커뮤니티 |
착수보고 | 창소보고 |
킥오프 | 키코프 |
온보딩 | 언보딩 |
POC | 포씨 |
워크숍 | 포트샵, 워크샵 |
아틀라시안 | 아틀란시안 |
